text,Status
@ATVIAssist i pre ordered wwii but how do i get the code?,
@115763 Can you please give me your gamertag / platform you're playing on so I can pull up your account information. ^CB,TRUE
@ATVIAssist Seth_tubbs and I am on PS4,
@ATVIAssist I got all of my stats reset on MWR and I don't know why. please help!!!,
"@115764

Unfortunately we don't have any information on this. Please stay tuned for more updates. ^JW",
"@115754 @115765 @ATVIAssist @115766 

Will non season pass holders get the bobus man Carentan at any point? Or not at all?",
@115767 Sorry that this isn't more simple... let us know if the steps in the video work out or if you need further help ^Madison,TRUE
"@AdobeCare Didn't work. Tried it on another computer, fresh install, same thing...",
@115767 Would you please DM the Adobe Product &amp; your purchase details that you have so that we can ask our experts to follow up. ^Raj https://t.co/iuwZCjz4Or,
@AdobeCare sure thing,
@AdobeCare the ctrl+alt+shift on load method didn't work. (2/2),
"@115767 Hi Jason, could you please try resetting the preferences of Photoshop &amp; let us know if it helps with the issue https://t.co/j3Dj2HDknM   ^SC",TRUE
@AdobeCare Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...,
"@115767 Hi Jason, please let us know if there is anything we can do to help. Thanks! ^AJ https://t.co/iuwZCjz4Or",TRUE
Any help here @AdobeCare? https://t.co/x50e57UG4E,
"@115768 Hi Jeffrey, were you able to update to Lightroom Classic CC?   ^Tanuj",TRUE
@AdobeCare nope still down.,
@115768 Have you tried signing out/back in or reinstalling the CC desktop app? https://t.co/Ne2f7tDTM0 Let us know! ^Madison,TRUE
@AdobeCare yes ive done that multiple times. its happened on previous versions as well.,
@115768 Thanks for confirming. We're looping in an expert who can help you out here. They will reply as soon as they're available. ^Madison,TRUE
@AdobeCare ok,
@AdobeCare so..when are they available?,
@115768 Sorry for this. Let me request the expert to look into this ASAP as he is in office. ^Raj,TRUE
@AdobeCare ok. its been very frustrating. i have multiple jobs that i need finished and your application isnt helping.,
"@115768 Hi Jeffrey, we wanted to check if you had managed to install Lightroom Classic CC. Please let us know if you need further assistance. ^NR https://t.co/iuwZCjz4Or",TRUE
@AdobeCare no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks,
@115768 Jeffrey did you use the process listed in https://t.co/ccvXXUvXuT to delete Lightroom Classic CC? ^Jeff,TRUE
@AdobeCare ill just wait for the next big update. ive wasted my time and patience with adobe products,
@115768 Jeffrey I am sorry to hear that. If you face future errors please review the installation logs. https://t.co/okPwBIqSxR ^Jeff,
@AdobeCare yea ive done everything you guys told me to do. i know its not my mac either as i have the retina imac which is fairly new.,
"@115768 Hi there, I am looping our expert team to help answer your question. Thanks! ^MC",TRUE
@AdobeCare you guys have been saying that for weeks now. your product went from being great to now unable to work and terrible. very disappointed.,
@115769 whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating. https://t.co/UpoCzPNqFb,
"@AmazonHelp ありがとうございます。
今、電話で主人が対応していただいてます。",
"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",
@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,
@AmazonHelp こちらこそありがとうございました。,
@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET,
amazonのfireTVstickが見れない😢,
"@115771 Hi, you can change your Microsoft account email through the steps here: https://t.co/DkEhOHbOYy . If the email your son wants to change to is already associated with a Microsoft account, you'll need to follow those steps to switch the email address on that account too. ^ZM",
"@XboxSupport can I change me sons Xbox live account to his Hotmail account, currently linked to my Hotmail account",
"@115772 Hi there, Lightroom 7.0.1 update was launched recently, please update the app to the latest version.  ^TS",TRUE
@115769 Did u release an update today for Lightroom Classic CC?,
"@115773 Hi there, please DM us you Adobe id so that we may have a quick look at your account details.   ^Tanuj https://t.co/iuwZCjz4Or",
"Please tell me why my @115769 has expired, but I’m still being charged????",
"@115774 Hi there, you may suggest it as a feature request at: https://t.co/SE1u3g161W .  ^Tanuj",TRUE
@115769 are there any plans to add a fast crop mode for the iPad version of LR? It takes too many taps and slows down workflow.,
"@115775 Thanks for sharing the file, we'll get back to you with updates as we investigate. ^Wren",TRUE
"@AdobeCare @115776 It’s intermittent for me. This file fails reliably: https://t.co/6m5a1RQEV9

The “Create subfolder” option just makes an empty “svg” folder",
"@115776 Unfortunately, we are not able to reproduce it at our end. I'll still be checking with the development team to find out more on this. ^OM https://t.co/3giRhN4vNJ",TRUE
"@AdobeCare Seems pretty widespread: https://t.co/ImomzTHO5j

Don't mean to be a jerk, but it's frustrating when an update breaks core functionality.",
"@115776 Hi Keelin,
Sorry for the inconvenience. I am able to export SVG in AI CC 2018. Would you mind sharing your workflow, sample file/screenshot? https://t.co/iuwZCjz4Or",
So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.,
"@115779 Hi Duncan, please update Lightroom to 6.13 from the following link: https://t.co/9vaI2tzHd6 .  ^Tanuj",TRUE
@115769 I'm worried as if I update my LR6 standalone programme I could lose it due to the new online version....is this true and if so is this fair!,
"Whoa! Come along with Lightroom’s own Ben Warde to get the lowdown: https://t.co/f1FGfdJaNk
https://t.co/6fsIV6WLRV",TRUE
"@115780 Hi Lauren, can you try changing your forum screen name at https://t.co/gF69gbjWAQ? That should do the trick! ^Madison",TRUE
@115777 your online forum is always broken even when I clear my cookies. https://t.co/dDwRPWnm3t,
"@115781 Hi Jake, any screenshots you can share? What are you export settings? Is this happening on all files with links? ^Wren",TRUE
"@AdobeCare Here is an example of an export before and after. Export settings are unchanged from default. No, only some files. https://t.co/YbCX6dmddc",
"@115781 Hi Jack, is there any way you could send me a file to try exporting on my end to try and replicate? ^Wren https://t.co/iuwZCjz4Or",TRUE
"@115781 Hi Jack, we're looping the expert back into this conversation. Thanks! ^AJ",TRUE
@AdobeCare Solved this via phone support,
"@AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!",
@115782 Thank you for that. We have responded to your DM with more information.,
@AirbnbHelp I've just sent you a message with details. Thanks for your help,
"@115782 Hi there, we would like to help. Please DM us your account's email and reservation code so we can further assist. Thank you.",
"Quand ton @115783 ne ressemble pas à celui que tu as réservé, &amp; qu'en + d'être sale et en sous-sol, tu te retrouves à 10 dans 1 #logement ! https://t.co/BcEIHe38tq",
@115784 We are sorry to hear this. Please DM your email address and reservation code so we can look into this for you. Thank you.,
@115783 Misrepresentation by host. Asked them to cancel my reservation and refund me over AUD1700 - strict policy. No response. Please help.,
@115785 Hi there! We'd recommend reaching out to the chat team here: https://t.co/UrUi80i54l ^JA,
@XboxSupport They have no info either..,
@115785 We'd recommend keeping an eye out on your email that is associated with your account for further info.  ^JA,TRUE
@XboxSupport Lol so there's no one @115786 who can say when they're going to be shipped...? That's kinda weird,
@XboxSupport @115786 When someone @115786 or @15913 @115787 @115788 knows when the xbox one x ships let us know.  Lol shouldn't b a mystery..,
"@115785 @115786 Did you pre-order this console via the Microsoft store? If so, then let's have you reach out here: https://t.co/jY7fDjTzLd ^JA",
"@XboxSupport @115786 Kinda need to make sure I have 680$ cdn in my bank, so would be nice to know.. I dun just have cash laying around ya know #RealLifeStruggles",
@XboxSupport @115786 Already did they had me call and no one can answer the question.  I'm not trying to be a jerk but it's nuts no one has a answer..,
@XboxSupport @115786 @115787 @15913 Would like to know so I can make sure I have enough money for it...,
@XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??,
@115789 Hello! Would you mind following us and sending a DM with your gamertag and the code you redeemed?  ^RR,TRUE
@115790 @XboxSupport redeemed a code for fifa points this afternoon and still haven't got it. Why is this?,
@115791 Can you show us what is appearing on your screen? ^RM,TRUE
@XboxSupport This is what's on my screen? Not sure if it's Xbox side or my5 side that's broken? Last time it was my5 as had to call head office about it! https://t.co/jnMIVOlNbS,
"@1520 @XboxSupport  the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app",
@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET,
amazonプライムビデオ、再生エラーが多いです,
"@115793 @115794 Hi. Emergency services are dealing with an incident, info here: https://t.co/XSpQ4dhtvk",
"@115794 @115795 my colleagues @nationalrailenq for more info on how this is affecting services, thanks. 2/2 ^JP",TRUE
@115795 @115796 Ah maybe @115793 could help on this one,
"@115794 @115796 Nothing, partner was on a train to Preston had to get a Taxi rest of way as was told no trains into Preston for a few hours",
@115795 @115796 What have you seen?,
Something going on at Preston train station ? @115796,
"@115797 Hi Loreen,kindly DM us your booking number and attach guest passport copy, we'll fix it for you, see you there!- Anwar",TRUE
@AirAsiaSupport Hi! I have DM u my booking # and passport picture thanks so much for quick action,
"@115797 Hi Loreen,correction done! :) See you on board! Cheers!- Anwar",
@AirAsiaSupport thank you very much..,
@AirAsiaSupport Hi! i would like to know on my itenerary on how the birthday can be seen. i would like to double check if i can key in our birthdays right 🙂,
"@115797 Hi Loreen, you may check the passenger's date of birth via AirAsia member account under manage booking. Thanks-Sha",
@AirAsiaSupport but i cant see it. i only see itenerary.. no birthday,
@115797 As you may check it under manage my booking online or during web check in. Date of birth will be shown accordingly.- Ed,
@AirAsiaSupport Hi Airasia. i want to rebook my return flight. but when i try rebooking my inbond also is rebooking. please help me. thanks,TRUE
@115797 Hi Loreen :) Kindly DM us the booking number that you wish to do change flight for us to assist you further-Thanks-Anwar,TRUE
@AirAsiaSupport hi!  I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line.,
@115797 Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking - Ed,TRUE
@AirAsiaSupport lost my booking # chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__,
"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)",
"@115799 Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you  =) Yana",TRUE
"@AirAsiaSupport Hi Yana, followed!",TRUE
"@115799 Hi Emma, We have replied to you via DM. please check again, Thank you- Mariya",TRUE
@AirAsiaSupport Hi Yana I don’t have any DMs from you. Did you mean email?,TRUE
@115799 We have replied to you via DM. Check it out =) Yana,TRUE
@AirAsiaSupport CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.,TRUE
@115800  notified if there should be any changes-Yana,TRUE
@115801 @115802 @AirAsiaSupport You'll be even happier to know that the restrictions around the volcano area have been lifted. Enjoy staying at home pal! 😂😂😂😂 #unlucky,
@115802 @AirAsiaSupport Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!!,
@115800 We are terribly sorry but we could not offer any options since all the flight are operating as per normal.Passengers will be,
"@115797 Hi Looreen :) Kindly DM us the booking number and attach guest passport copy, we'll fix it for you, see you there! -Anwar",TRUE
@AirAsiaSupport my surname has been redundant where do i go to correct it?,
@115797 H,
@115803 Please don't tell me Carol!! I can't wait to go home &amp; find out!! - Chloe,TRUE
@Morrisons My lips are sealed 😋,
@115803 Somebody else has told me!! I'm gutted :( - Chloe,TRUE
"@Morrisons Aahhrrgh! Keep mum, I’m still watching 😄",
"@115803 Don't you worry Carol, my lips are shut!! - Chloe",TRUE
"@Morrisons Aww, Sophie deserved winner 👏😄",
Fresh cream palmier @Morrisons bakery Bellshill gets my vote for #star baker 👨‍🍳😘😋💗just catching up on #gbbo17 don’t know who won yet 😄,
"@115804 Hi there, sorry about that. Please DM me when you visited the store and I'll look into this. Thanks - Kirsty",TRUE
"@Morrisons That's pointless as it's every day, all the time. No matter when I go in. I speak 2the management who r as fed up as I am. They've no staff.",
@115804 So sorry! Could you send me what store this is in so we can get this to the right people? - Janay,TRUE
"@115804 I can see you've sent the store, leave it with us and we'll get this sorted :) - Janay",TRUE
@Morrisons so fed up of this very familiar sight at Houghton Regis. Get more staff &amp; stock the place properly. This is just a small example https://t.co/CummsXx7jc,TRUE
"@115805  store you bought it from, along with your address and More Card number and I'll get this sorted for you. Thanks - Kirsty",TRUE
"@Morrisons 3 for £6, unless one is reduced (hidden label on the side!) then it’s 3 for £6.14. Don’t care about the 14p but feel ripped off! https://t.co/jG0fTncMDr",
"@115805 Hi Emma, sorry about that. If a product is reduced then the previous offer isn't applied. Please DM me the barcode and the",TRUE
"@115806 You're welcome, William. Give us a shout if you need assistance with anything else. Good luck with the NRC app.",TRUE
@NikeSupport Thank you nike,
@115806 While the Coach plans can be weeks in time. It's up to you to decide what fits you best. (2/2),
"@NikeSupport I'm new to nike+ run club app,  should i start with guided runs or my couch?",
@115806 We got this. Both are beneficial to starting the NRC app. The Audio Guided runs are one time runs. (1/2),
@115807 What exactly is the issue you are having?,
@AskAmex I’ve asked your sales rep about the payments and she wasn’t ready to listen to any issues that I had.,
"@115807 Apologies for all of the issues. If you have time to chat securely with me, I would be happy to review. ^Rachel",TRUE
@AskAmex Sure. Please drop me a message now.,
@115807 Great. Please go to https://t.co/crJMnNwi0H log in and select code 10307  and we will continue our conversation there. ^RK,TRUE
@AskAmex Amex Platinum and Amex everyday card.,
@115807 I am so sorry to hear that. Which U.S. based card do you have? Pls do not share any personal info.,
@AskAmex Nope. They weren’t ready to listen what I wanted to say and if I had any questions about anything else and hung up on me.,
"@115807 Hi there, I am so sorry to her that. what exactly is the issue you are having?",
@AskAmex Thought Amex values their customers. But boy you got really bad reps on the customer service.,
@115808 It’s getting all sorts of saucy over here this #Halloween. #TrickorTweet https://t.co/aNlYZYvL1U,
@McDonalds Treat!,
So what’ll it be this #Halloween: a trick or a treat? Let us know below. #TrickorTweet https://t.co/xwjAZp0C2v,
"@115809 Our heart’s beating faster over here, and it’s not from all the scares. #TrickorTweet https://t.co/Wte8FLiFJ7",
@McDonalds Treat me!,
@115810 Chocolate chip cookies + McFlurry = everything you’ve ever been missing. #TrickorTweet https://t.co/4YfWChLNKT,
@McDonalds Can I get uhhhhhhhhhh... treat?,
@115811 Hi - are you receiving an error message when trying to link the account?,
"@115812 I cant Connect my Interactive Broker ( Canada) with yahoo finance App in ios 11, Any suggestions.. ??",
"@115813 Hi there, thanks for reaching out. Please send us a DM so we can continue our conversation. https://t.co/SXpdictw1A",
@AskLyft I have to be at work at 2pm tomorrow. My new phone is being overnighted but it may not be there until then. I have no other ride.,
@115814 Please let us know how we can help and DM your tracking # using this link. ^MC https://t.co/wKJHDXWGRQ,
whats wrong w/ amazon leavin shit outside like ups...🤔,
@115815 I'm sorry to hear that. Let us know what happened and if you have a tracking # please send that too. ^MC https://t.co/wKJHDXWGRQ,
@115816 that small biz tyrant a dime yo. nice @115817,
"Worth the squeeze: when you’ve got us helping you along the way, owning your own #smallbiz can be quite fruitful! https://t.co/AgBM1TRAcD",
"@115818 Glad to check. Pls, DM your confirmation number for assistance.  *QB https://t.co/6iDGBJAc2m",
@Delta DM sent,
@DELTA i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage,
@115819 Don't forget - this Sunday is Bring Your Grandma to McDonald's Day. See you then!,TRUE
@McDonalds My granny will be attending @ the McD’s in Heaven!  Would give anything to be able to bring her myself!,
My grandma's laying #Poolside thanks to @McDonalds delicious New #ButtermilkCrispyTenders https://t.co/4sy9hatKTi,
"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",TRUE
"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",
@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,
"@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.",
Way to drop the ball on customer service @115821 so pissed right now!,
"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",
@115823 I want my amazon payments account CLOSED.  dm me please.,
"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",
"@AmazonHelp Okay, danke für die Info",
@115824 Wir haben zu danken. Schönen Abend noch. ^JS,TRUE
